start_node,end_node,distance_court
3380751025,5657136849,2742.877000000001
11356942377,171760149,1910.4329999999998
2225197158,4463347218,3511.353
7603662257,8913559675,875.318
6915264516,373344984,1826.8300000000004
6258069706,12046001657,2925.2459999999996
6477428926,12055379656,2913.3050000000017
5033143046,4508416964,3261.53
1224759557,5967428151,1571.145
2972114639,7355166364,634.5899999999999
4453790532,3402867312,3818.0420000000004
1499854584,6473126985,867.2599999999999
339867756,2214589285,2657.7779999999993
7462318451,4037209422,783.186
601148379,1183172947,1147.139
1184432851,4887980119,1925.2509999999997
5065575254,5196681081,3775.904
801721730,1177037259,1484.8980000000001
12068224844,8648707370,2154.449
12147575263,2623015203,2526.3679999999995
2161048769,1253878881,2342.7939999999994
12057065947,371241309,1913.3
1732745973,4623863871,3438.841
2221955069,1864321149,945.7430000000002
12036094553,11623951742,1532.355
11182854123,8329128110,3839.8670000000006
8434042,3259797439,1323.9189999999999
12033001339,6185341145,2678.2110000000007
1722668134,11476164109,3304.9770000000003
12055380081,1995300190,2386.4979999999996
12075308650,8900200666,2344.924
11407552197,6415591196,603.781
7618217725,2371552110,1943.0749999999996
5435329099,12068278580,2547.2970000000005
5706938207,5010922961,2038.173
2445012437,5188301907,2404.2539999999995
1759699596,10963905049,3365.7479999999982
3137432728,538188637,3558.723
1903756496,5159077627,2681.773999999999
9320983093,2606894105,3273.36
5263457736,1499598821,1409.569
2208417947,8157403680,3443.299000000001
2356829934,414591687,1740.369
5521012888,3255880530,1066.0440000000003
2849103885,245925747,1608.8410000000001
3843118674,4262383785,2321.122999999999
1473213381,1474023510,953.523
1037302516,4099004106,2740.2689999999993
12069589146,1036842144,2871.7859999999996
1180379100,12071701776,3797.312999999999
7927573184,1600722268,3445.9140000000007
9927086658,269364551,694.7660000000001
6796038276,12073401257,3984.5359999999982
6404015518,12057140257,1526.4330000000002
6374628950,3409180790,1395.314
6068222512,1937562023,3591.113
7462318444,34737074,1303.494
1869151330,2819199433,3003.4520000000016
1777422533,3791090737,1916.3579999999997
1108983667,3031697128,3833.2420000000006
2079336937,3862599154,3916.4810000000007
8306113184,2853392648,1257.87
4140180220,4140176504,640.493
3898528518,6759103860,3770.576000000001
315117163,315236281,2014.5750000000005
3119299841,2266997872,1643.312
1344963792,2317007257,1957.8970000000002
12075195558,11613330922,3148.4860000000017
10173455359,1456557331,910.442
1694598901,11998622336,3949.11
27504190,12048892500,3428.308000000002
1852659165,1849455672,1865.6559999999997
1611512065,1611495729,667.6460000000001
12380818651,266044024,1058.662
8832699229,12045465147,3073.9430000000007
3143630585,1190795307,3038.5209999999997
4429103886,2848982100,651.676
726091021,3705241263,2493.578000000001
257050856,11999384903,889.192
12057079291,10659714242,1633.3880000000001
2116549627,1030705249,1085.552
1603514384,2502831103,1433.971
1038594850,8222278223,693.591
3442794607,2511519915,2315.0780000000004
11014664401,9290546755,1585.8410000000003
10665237094,5408267832,2165.472
12045464846,7503437993,2936.8560000000007
2909750327,193579574,1061.8790000000001
1588301158,7320337793,2827.141
7514070474,12057433718,2732.1450000000004
11251394922,3264144591,3791.454
1102998548,1579267789,731.198
2330481420,1546924606,1160.357
2007990276,7975015111,2610.638
618933220,1305989826,3336.187
8148562175,270298919,1067.877
3760133430,1466648770,3276.745999999999
1715948230,8631669111,1921.9839999999997
5559280383,1110661292,2931.677
5967281951,12049142836,1838.814
12049362931,12067744882,1383.8139999999994
7358651008,6375631587,2987.84
588229997,470333119,3218.3360000000007
12087214109,12067828022,1755.4329999999993
12017245547,12058943837,3315.1450000000013
9877713551,8900201139,3681.253000000002
386181581,12054934180,1716.7590000000002
74946138,1038134301,1841.3659999999995
7533616325,9197060567,1937.1480000000001
654053880,7973891643,1746.4580000000003
5037354703,5992511398,1618.3130000000006
1472824079,11598365237,957.7320000000001
1859957798,267561013,1348.1419999999998
12057087043,6344376335,1696.1829999999998
2705418276,1028115585,900.9950000000001
8677606684,9134669792,2181.278999999999
12307676239,3264709061,2213.9050000000007
1468818336,6370685971,3378.0020000000013
12049362883,11966306055,2940.1730000000007
6909471853,12082598117,2475.959999999999
5470938486,243677330,3903.451
192400814,6067548811,3288.2980000000002
10089726660,8002525613,3725.917999999998
313718411,10853049716,2949.684
6370430606,6212867864,1287.8360000000002
4078297245,514019261,796.2719999999999
443371758,6256970577,1339.6650000000002
2180782824,12061514797,1541.2699999999993
10811863021,12046280821,3606.8959999999993
6047080155,2108795410,2571.1310000000017
2555382087,1416147637,1175.171
1324318078,1183172767,2163.8339999999994
11568575367,9649250138,3502.656
3158054774,11815772157,1928.5799999999997
11564985578,12043211112,1773.3959999999995
1903793015,6024811542,1651.4189999999994
3923845976,3811036219,1565.305
33164898,1624309990,3996.601999999999
9029169643,12069501862,904.2570000000002
10100500932,8243389087,2892.4160000000006
3499171042,1508653992,851.656
35441012,8880229161,1221.9849999999997
6348565908,4136038860,2631.443
12056974981,8784835284,2960.9849999999997
1610855567,6297571298,3145.5629999999996
443677225,1453882742,3705.0610000000006
3987596327,11349793856,2173.238
12058943639,3046464972,1812.0810000000001
2584621654,9762296889,2049.9779999999996
2812996232,5895650793,1252.6079999999997
245077129,6744847632,3175.98
601148358,601628026,2095.1589999999997
4186785418,1130783744,1401.4489999999998
7661765941,8625623020,705.7809999999998
1273142376,1198720682,1353.858
12071612063,3827520510,1520.3309999999997
4059448398,2423149488,1824.6039999999994
2294722015,5941020851,3351.1810000000005
